id,name,absolute_magnitude_h,is_potentially_hazardous_asteroid,estimated_diameter_min_km,estimated_diameter_max_km
2000433,433 Eros (A898 PA),10.41,False,22.0067027115,49.2084832235
2000719,719 Albert (A911 TB),15.59,False,2.0256060086,4.529392731
2000887,887 Alinda (A918 AA),13.88,False,4.4519981645,9.9549705315
2001036,1036 Ganymed (A924 UB),9.25,False,37.5452479361,83.9537266171
2001221,1221 Amor (1932 EA1),17.38,False,0.8882904164,1.9862777548
2001566,1566 Icarus (1949 MA),16.57,True,1.2898968334,2.8842970035
2001580,1580 Betulia (1950 KA),14.69,False,3.0658787593,6.8555133165
2001620,1620 Geographos (1951 RA),15.27,True,2.3472263753,5.2485577338
2001627,1627 Ivar (1929 SH),12.84,False,7.1871213318,16.0708918604
2001685,1685 Toro (1948 OA),14.28,False,3.7030107822,8.2801838305
2001862,1862 Apollo (1932 HA),16.08,True,1.6164228334,3.6144313359
2001863,1863 Antinous (1948 EA),15.45,False,2.160503512,4.8310327184
2001864,1864 Daedalus (1971 FA),14.86,False,2.8350124902,6.3392806452
2001865,1865 Cerberus (1971 UA),16.79,False,1.1656145947,2.6063934693
2001866,1866 Sisyphus (1972 XA),12.52,False,8.3282734552,18.6225855811
2001915,1915 Quetzalcoatl (1953 EA),18.38,False,0.5604733623,1.2532565376
2001916,1916 Boreas (1953 RA),14.95,False,2.7199127735,6.0819098544
2001917,1917 Cuyo (1968 AA),14.41,False,3.4878273316,7.7990190072
2001943,1943 Anteros (1973 EC),15.7,False,1.9255507819,4.3056624424
2001980,1980 Tezcatlipoca (1950 LA),13.85,False,4.5139316282,10.0934579665
