"full_name","epoch_mjd","a","e","i","om","w","ma","diameter","pha","class","per"
"  2062 Aten (1976 AA)",60600,0.967,0.1829,18.93,108.53,148.06,338.03,1.1,N,ATE,347
"  2100 Ra-Shalom (1978 RA)",60600,0.832,0.4365,15.75,170.78,356.08,89.62,2.3,N,ATE,277
"  2340 Hathor (1976 UA)",60600,0.8438,0.4500,5.86,211.29,40.10,53.40,0.3,Y,ATE,283
"  3362 Khufu (1984 QA)",60600,0.9895,0.4685,9.92,152.40,55.09,359.85,0.7,Y,ATE,360
"  3554 Amun (1986 EB)",60600,0.974,0.2806,23.36,358.60,359.42,226.57,3.341,N,ATE,351
"  3753 Cruithne (1986 TO)",60600,0.9978,0.5148,19.80,126.19,43.88,308.80,2.071,N,ATE,364
"  5381 Sekhmet (1991 JY)",60600,0.9475,0.2964,48.97,58.53,37.42,199.13,0.935,N,ATE,337
"  5590 (1990 VA)",60600,0.9864,0.2802,14.18,216.26,34.47,25.89,,N,ATE,358
"  5604 (1992 FE)",60600,0.9286,0.4061,4.71,311.89,82.68,269.92,0.55,Y,ATE,327
" 33342 (1998 WT24)",60600,0.7187,0.4177,7.37,81.66,167.52,27.50,0.432,Y,ATE,223
" 65679 (1989 UQ)",60600,0.9148,0.2647,1.30,178.08,15.01,195.92,0.918,Y,ATE,320
" 66063 (1998 RO1)",60600,0.991,0.7200,22.69,351.84,151.16,66.66,,N,ATE,360
" 66146 (1998 TU3)",60600,0.7875,0.4838,5.41,101.97,84.91,230.70,2.864,N,ATE,255
" 66391 Moshup (1999 KW4)",60600,0.6424,0.6884,38.88,244.90,192.65,296.90,1.317,Y,ATE,188
" 66400 (1999 LT7)",60600,0.8554,0.5726,9.06,79.80,341.41,247.27,0.411,N,ATE,289
" 68347 (2001 KB67)",60600,0.9616,0.3799,17.13,245.86,243.82,352.38,,Y,ATE,344
" 85770 (1998 UP1)",60600,0.9977,0.3452,33.18,18.33,234.23,117.08,,N,ATE,364
" 85953 (1999 FK21)",60600,0.7388,0.7030,12.60,180.45,172.42,358.20,0.59,N,ATE,232
" 85989 (1999 JD6)",60600,0.8831,0.6329,17.07,130.15,309.25,338.43,1.462,Y,ATE,303
" 86450 (2000 CK33)",60600,0.968,0.4148,18.11,124.84,215.60,76.04,,N,ATE,348
